-0.1213	0.1113	-0.0805	-0.0242	-0.0581	-0.5957	0.5054	-0.0226	-0.0559	0.0177	0.0061	-0.3163	0.0493	-0.0234	0.0455	0.0045
-0.8356	-0.2609	-0.1701	0.0559	-0.1233	0.2194	0.1355	-0.0403	0.6791	0.8593	-0.0123	0.2349	0.2357	-0.0713	0.0151	-0.0121
1.3798	0.0292	0.0140	0.0828	-0.0710	0.0284	0.1427	0.1309	-0.0520	0.0392	-0.1708	-1.1582	-0.0179	0.0490	-0.0019	-0.0262
-0.0735	0.0394	-0.0988	0.4746	-0.1494	-0.9597	0.0286	0.0444	0.0939	0.4610	-0.0094	0.0512	-0.2552	-0.0504	-0.1440	-0.5801
-0.1642	0.1497	-1.1282	0.0206	-0.0573	-0.0195	0.1134	0.0963	0.0271	0.0730	-0.0562	-0.0356	0.0210	-0.0819	-0.0867	0.0192
-0.2040	0.0306	0.1128	-0.0117	-0.5157	-0.1065	0.0841	-0.1273	-0.1029	-0.0426	-0.3197	-0.3574	0.1051	-0.0399	-0.0146	0.1406
-0.2021	0.3132	-0.1026	0.0768	-0.2682	-0.1337	0.0911	-0.1534	-0.0140	-0.1205	0.5656	1.0659	0.0322	-0.2127	-0.0093	-0.0082
-0.1978	-0.6809	-0.0784	-0.9177	-0.1864	-0.1273	0.1357	-0.1086	-0.1650	1.2204	0.0368	-0.1917	-0.0430	-0.5751	0.1095	-0.0667
-0.9350	0.0839	-0.0642	0.0655	-0.1605	0.0313	-0.0029	-0.0124	0.4494	0.0457	0.7758	-0.1632	0.4067	-0.1363	0.3049	0.7096
-0.1668	0.4146	-0.0317	-0.0173	-0.4944	-0.5710	0.3754	-0.0726	-0.7525	-0.7768	-0.1651	0.0039	0.2177	0.4001	0.0030	-0.1531
-0.1389	0.0778	0.0023	-0.0948	-0.0509	-0.1120	0.0580	-0.0666	-0.0094	-0.0325	0.0443	-0.1465	0.8757	-0.1850	0.1685	-0.0004
-0.1749	0.0293	-0.0546	-0.0742	-0.0739	-0.5315	0.0508	-0.1387	0.0277	0.0330	-0.1144	-0.1504	0.6206	-0.0871	-0.0017	0.0221
0.1717	0.0462	0.0211	0.0667	-1.8548	-0.8616	0.1148	-0.0820	-0.0862	-0.0251	-0.0439	-0.1121	-0.0626	-0.3954	0.0319	-0.0371
-0.2539	0.0321	-0.2066	0.0968	-1.2177	0.0756	0.0681	0.3755	0.2964	-0.2443	-0.3764	-0.0306	0.0016	-0.1049	-0.1230	0.2805
-0.0028	-0.2801	-0.0512	0.0198	0.1234	-0.0650	0.1265	-0.1038	0.0452	0.0517	-0.0578	-0.0381	0.0273	-0.2641	-0.0453	-0.0170
-0.0438	0.2738	-0.0250	0.1389	-0.1552	-0.4488	0.0550	-1.1065	-0.8117	-0.0703	-0.0893	0.0605	-0.0163	-1.1127	-0.1508	0.0406
-0.1845	0.1078	-0.7810	-0.0695	-0.0728	-0.0409	0.1581	-0.8180	-0.9263	0.0799	-0.0914	-0.4491	0.0144	0.0302	-0.0272	0.4094
-0.1455	-0.0289	-0.0899	0.0221	-0.0758	0.0076	0.1014	-0.0918	0.2536	-0.0892	-0.8328	-0.0000	0.0357	-0.1193	-0.1264	0.0544
